127.0.0.1 - - [13/Apr/2023:14:21:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:21:19 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 500 2544
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:21:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:21:52 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:21:57 +0900] "POST /JspStudy/CH07/cookieEx/cookieProc.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:01 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:10 +0900] "POST /JspStudy/CH07/cookieEx/cookieProc.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:12 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:14 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:14 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:15 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:15 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:22:15 +0900] "GET /JspStudy/CH07/cookieEx/cookieMain.jsp HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/main.jsp HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/assets/img1.jpg HTTP/1.1" 200 14586
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/assets/img2.jpg HTTP/1.1" 200 3114081
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/assets/img3.jpg HTTP/1.1" 200 936045
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/assets/img4.jpg HTTP/1.1" 200 539372
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:43:53 +0900] "GET /JspStudy/CH07/sessionEx2/assets/img5.jpg HTTP/1.1" 200 1213447
